episode,reward,loss,time_dependence
0,1065,6.103124092102051,16
1,1020,8.599432824134826,16
2,1335,7.524534854888916,16
3,1785,6.755270544052124,16
4,1290,5.355280812263489,16
5,1620,4.678946341514587,16
6,3195,4.501066923379898,16
7,3255,3.6484240164756776,16
8,2190,2.752370308637619,16
9,4320,2.6818903217315673,16
10,2265,2.6172801949977873,16
11,3240,2.5927452685832977,16
12,3420,2.450381057024002,16
13,3180,2.6786385409832,16
14,3435,2.6566526012420653,16
15,2445,2.7833102865219117,16
16,3705,2.6279209327697752,16
17,1980,2.6644630875587465,16
18,3960,2.598595335006714,16
19,2490,2.6447612431049348,16
20,1515,2.5267142667770384,16
21,3750,2.757171384334564,16
22,3180,2.901191689491272,16
23,2580,2.8379666233062744,16
24,2940,2.612315017938614,16
25,2700,2.773167422771454,16
26,2145,2.541979407787323,16
27,2955,2.6491018073558807,16
28,4680,2.7387181000709533,16
29,3870,2.782377105474472,16
30,3285,2.7882102956771853,16
31,4275,2.5212544989585877,16
32,2610,2.754430206298828,16
33,4020,2.566996990919113,16
34,1140,2.8280886013507844,16
35,2655,2.5817338008880615,16
36,1800,2.668120038986206,16
37,3765,2.831020357131958,16
38,1800,2.735844908952713,16
39,3945,2.726455554485321,16
40,3825,2.8376854581832887,16
41,1995,2.7055317752361296,16
42,525,2.7094915347099304,16
43,3060,2.6122849597930906,16
44,2880,2.885129837989807,16
45,4005,2.5484192910194396,16
46,3465,2.6880816850662232,16
47,2250,2.7984015378952027,16
48,2040,2.6871949849128725,16
49,2370,2.7751511821746826,16
50,2835,2.7893427901268004,16
51,3180,2.815545252799988,16
52,2910,2.965194237709045,16
53,2535,2.8471886353492737,16
54,3705,2.761984254837036,16
55,3855,2.846411367893219,16
56,3630,2.8223579444885254,16
57,4185,2.814533315420151,16
58,2115,2.7818933095932006,16
59,3570,2.852293867111206,16
60,2190,2.995944582462311,16
61,4260,2.7308463277816775,16
62,2040,2.796721692085266,16
63,3795,2.835742961883545,16
