episode,reward,loss,time_dependence
0,1395,5.499898321151734,2
1,585,6.6806451025009155,2
2,1500,6.542250043869019,2
3,1860,5.787391131401062,2
4,675,4.3125507111549375,2
5,2385,2.5799174022674563,2
6,3405,2.4300560884475706,2
7,3795,2.320856454372406,2
8,3330,2.4298660020828247,2
9,4305,2.3037501945495604,2
10,3405,2.5822254691123963,2
11,4425,2.646905735492706,2
12,3660,2.5829314687252043,2
13,4635,2.6010049805641176,2
14,3840,2.7334061727523804,2
15,4890,2.4959131832122803,2
16,3975,2.4467354798316956,2
17,4845,2.5829083814620972,2
18,4275,2.7222360808849335,2
19,4035,2.648282425403595,2
20,3870,2.616510334253311,2
21,4650,2.7449102029800416,2
22,3435,2.639606866836548,2
23,4590,2.752617447376251,2
24,4815,2.629566887617111,2
25,3975,2.6851511108875274,2
26,3780,2.5461150131225585,2
27,3870,2.76286670088768,2
28,3300,2.7282806820869445,2
29,4560,2.654527862548828,2
30,3510,2.762588771343231,2
31,3780,2.4540259499549864,2
32,4410,2.680915500640869,2
33,4785,2.5481185891628266,2
34,4470,2.6535304346084594,2
35,4695,2.503796356201172,2
36,4425,2.3417198133468626,2
37,4395,2.456373212814331,2
38,3870,2.516407415628433,2
39,4605,2.5653145229816436,2
40,4230,2.6469435148239135,2
41,4440,2.4447250919342043,2
42,4530,2.639167636036873,2
43,4620,2.2810012464523317,2
44,3450,2.587328770875931,2
45,4830,2.473565432548523,2
46,4695,2.413154594182968,2
47,3780,2.445330914020538,2
48,4410,2.4573931941986085,2
49,4035,2.324819036245346,2
50,4725,2.3474505162239074,2
51,4095,2.45117063331604,2
52,4200,2.29182621884346,2
53,3345,2.1467275714874265,2
54,4455,2.3352437040805816,2
55,4530,2.3115822700262068,2
56,4695,2.4765149984359742,2
57,3840,2.178891154050827,2
58,3375,2.1614225964546203,2
59,4170,2.376174810409546,2
60,4245,2.0740883636474607,2
61,4575,2.46642866563797,2
62,3780,2.206446621179581,2
63,3720,2.1955412867069244,2
64,4275,2.3851865713596343,2
65,4740,2.370196029186249,2
66,3735,2.477428153514862,2
67,4230,2.4873167598247528,2
68,3855,2.386593596458435,2
69,4845,2.302191627502441,2
70,4920,2.4302526695728304,2
71,3975,2.31179029917717,2
72,4215,2.422326752662659,2
