episode,reward,loss,time_dependence
0,1710,6.527047584533691,8
1,1245,6.390707277297974,8
2,1410,7.684105677604675,8
3,1005,8.260853846549988,8
4,1380,7.459958429813385,8
5,1470,6.760770460128784,8
6,2460,6.250336196899414,8
7,3135,4.570666474342346,8
8,4485,3.2639849915504455,8
9,3840,2.921984888076782,8
10,3495,2.894247320175171,8
11,3750,3.0247132635116576,8
12,3825,3.0278929147720337,8
13,3615,3.247905668735504,8
14,3765,3.264513551235199,8
15,4695,3.0613480911254882,8
16,3435,2.941058269023895,8
17,4680,3.3470547704696654,8
18,4515,3.1260435116291045,8
19,4920,3.363462463378906,8
20,4305,3.2506170425415037,8
21,4935,3.103778830051422,8
22,4425,2.88802876329422,8
23,3390,3.064850026130676,8
24,3855,2.947935385465622,8
25,3780,2.805862919807434,8
26,4950,2.871556753396988,8
27,4890,3.0423839616775514,8
28,3960,3.001059516429901,8
29,4755,2.839020432949066,8
30,4095,2.9058685445785524,8
31,4155,2.7451537914276125,8
32,4770,2.882585120677948,8
33,4440,2.823722083568573,8
34,3750,2.6541805901527407,8
35,3960,2.8658110756874082,8
36,4290,2.745351182460785,8
37,3675,2.822189289331436,8
38,3570,2.767750221252441,8
39,3885,2.773491581439972,8
40,3540,2.8335223817825317,8
41,4860,2.8076749498844147,8
42,4590,2.6151590414047243,8
43,4605,2.6595348432064054,8
44,4185,2.866087689638138,8
45,4815,2.675481989860535,8
46,3465,2.8707963173389435,8
47,4890,2.6586252937316894,8
48,4200,2.6388473234176635,8
49,3750,2.5519188933372496,8
50,4635,2.467224855899811,8
51,3450,2.4149735004901887,8
52,3945,2.8671370725631715,8
53,4140,2.7607258958816527,8
54,4875,2.714559726715088,8
55,4110,2.424551011323929,8
56,4020,2.436518576622009,8
57,3615,2.5319444501399992,8
58,3405,2.626701724290848,8
59,3420,2.7280341107845305,8
60,4680,2.755617498397827,8
61,3660,2.483343190431595,8
62,4860,2.5792485823631286,8
63,3945,2.775852920770645,8
64,4815,2.6151100335121154,8
65,4605,2.4626093254089354,8
66,3915,2.5309295217990875,8
67,3435,2.59243866443634,8
68,3690,2.468311900138855,8
69,4815,2.4603951036930085,8
70,4170,2.5557581095695494,8
71,3615,2.8348174896240232,8
72,4395,2.5285772556066513,8
73,3915,2.4621112332344057,8
74,3975,2.5296158039569856,8
75,4065,2.6688161313533785,8
76,3360,2.662274598121643,8
77,3615,2.614061761856079,8
78,4920,2.4742375845909117,8
79,4185,2.539262481212616,8
80,4050,2.475330753803253,8
