episode,reward,loss,time_dependence
0,960,5.54248299407959,16
1,1185,9.439440841674804,16
2,1305,8.756708675384521,16
3,1575,8.644568286895751,16
4,1860,7.102150179624558,16
5,2550,5.557818916320801,16
6,4650,3.352350685119629,16
7,3765,3.119952877044678,16
8,4125,2.8158372712135313,16
9,4545,2.9640045819282532,16
10,4155,3.049517169713974,16
11,3645,3.1488184151649476,16
12,3570,3.0983590154647827,16
13,4110,3.0839654812812807,16
14,4710,3.2592997679710387,16
15,3645,3.024504714488983,16
16,3795,2.950350246667862,16
17,4710,3.0728438172340393,16
18,4110,3.2379313747882845,16
19,3675,3.097463428020477,16
20,4470,2.858513176202774,16
21,3885,3.0259968876838683,16
22,3540,3.033957957267761,16
23,4935,3.2517258558273316,16
24,4320,2.960763786315918,16
25,3510,3.0206943397521973,16
26,4380,3.060584508895874,16
27,4605,2.8446197023391724,16
28,4830,2.8730546391010283,16
29,4170,2.881888479232788,16
30,3840,2.8459633224010465,16
31,4200,2.996478786945343,16
32,3840,2.8196126403808592,16
33,4575,2.787903043270111,16
34,4545,2.8114557144641874,16
35,3840,2.708788056612015,16
36,3360,2.6550728464126587,16
37,4875,2.7948945178985594,16
38,4320,2.7833413944244385,16
39,4185,2.668216769695282,16
40,4080,2.7536446595191957,16
41,4170,2.6029470517635347,16
42,4590,2.647965117931366,16
43,4815,2.5676320657730103,16
44,3645,2.5201204874515533,16
45,4905,2.6375735845565798,16
46,3450,2.6337400040626524,16
47,3930,2.6006240429878233,16
48,4350,2.50687015581131,16
49,4785,2.4447429456710816,16
50,4005,2.6013967747688294,16
51,3750,2.449741318702698,16
52,3330,2.4121623373031618,16
53,4230,2.3695475919246674,16
54,4170,2.5577020576000216,16
55,4395,2.589781759262085,16
56,4500,2.536656501531601,16
57,4380,2.552900013446808,16
58,4440,2.3719950083494186,16
59,4815,2.586960295200348,16
60,3690,2.640501919269562,16
61,4455,2.534637743473053,16
62,4380,2.5828153269290923,16
63,3780,2.2758845057487487,16
64,4440,2.574457476377487,16
65,3990,2.5548370409011842,16
66,3540,2.568621136903763,16
67,3780,2.590661808013916,16
68,4620,2.510878104686737,16
69,3405,2.4127788119316103,16
70,4755,2.6441193985939027,16
71,4020,2.3630791907310487,16
72,4125,2.521543141365051,16
73,4065,2.463070511341095,16
74,4785,2.570325228214264,16
75,4200,2.371376343727112,16
76,4605,2.4667555520534514,16
77,4710,2.2519619817733765,16
78,4080,2.397454966545105,16
79,3765,2.4377449922561647,16
80,4395,2.343764995098114,16
81,4095,2.51509777879715,16
82,3825,2.4431812939643858,16
83,4110,2.4146478905677795,16
84,3930,2.405146854400635,16
85,4860,2.393003122806549,16
86,3765,2.394630424261093,16
87,3495,2.5649409790039064,16
88,4125,2.4968473987579345,16
89,3645,2.2239075598716735,16
90,4650,2.553266947746277,16
91,4890,2.576605037331581,16
92,4830,2.39600261259079,16
