time_dependence,train_avg_reward,train_accuracy,test_avg_reward,test_accuracy
2,3953.013698630137,0.8593497935635578,4185.9,0.8903393213572854
4,3950.689655172414,0.8590405396104343,4211.1,0.8936926147704591
8,3899.6296296296296,0.8522461250338829,4188.6,0.8906986027944112
16,4015.161290322581,0.8676195995106561,4204.35,0.8927944111776447
2,4139.46,0.8841596806387225,4185.75,0.8903193612774452
2,3953.013698630137,0.8593497935635578,4185.9,0.8903393213572854
4,3950.689655172414,0.8590405396104343,4211.1,0.8936926147704591
2,2749.156626506024,0.6991559050573551,3199.95,0.7591417165668662
4,3032.7272727272725,0.7368898566503357,3094.05,0.7450499001996008
8,2775.258620689656,0.7026292243100006,3169.8,0.7551297405189621
16,2844.140625,0.7117951596806387,3169.8,0.7551297405189621
2,2749.156626506024,0.6991559050573551,3199.95,0.7591417165668662
2,3953.013698630137,0.8593497935635578,4185.9,0.8903393213572854
4,3950.689655172414,0.8590405396104343,4211.1,0.8936926147704591
8,3899.6296296296296,0.8522461250338829,4188.6,0.8906986027944112
2,3953.013698630137,0.8593497935635578,4185.9,0.8903393213572854
4,3950.689655172414,0.8590405396104343,4211.1,0.8936926147704591
8,3899.6296296296296,0.8522461250338829,4188.6,0.8906986027944112
16,4015.1612903225805,0.8676195995106561,4204.35,0.8927944111776447
