episode,reward,loss,time_dependence
0,1260,6.29896453666687,8
1,1155,7.873762945175171,8
2,1815,8.194704599380493,8
3,1755,6.713082042694092,8
4,1665,5.295502729415894,8
5,1590,5.421735491275787,8
6,1425,4.868785864830017,8
7,2685,4.458042860984802,8
8,450,4.352967449188233,8
9,1860,4.2705743837356565,8
10,2610,3.48477316236496,8
11,3075,3.0377821929454805,8
12,3165,3.090827895641327,8
13,3600,2.695146403312683,8
14,3450,2.8560083780288696,8
15,4410,2.6266708669662475,8
16,3420,2.712854006290436,8
17,720,2.7409243330955504,8
18,2640,2.766195013999939,8
19,4575,2.8391088640689848,8
20,3945,2.89692528963089,8
21,4590,2.9875342111587524,8
22,3225,3.2004650430679322,8
23,3405,3.2918890771865845,8
24,3315,3.2209769792556764,8
25,2190,3.0591572518348693,8
26,2310,3.2018624014854433,8
27,4740,3.5027715437412263,8
28,2580,3.343413733005524,8
29,4140,3.3739645614624023,8
30,4035,3.3560566868782042,8
31,2235,3.3726628770828246,8
32,390,3.376382216930389,8
33,2910,3.30984792137146,8
34,3420,3.1160097651481626,8
35,3945,3.1632355966567993,8
36,3810,3.0718860130310057,8
37,2265,3.3171933217048646,8
38,3345,3.082396282196045,8
39,1965,3.207174208641052,8
40,3060,3.265793919086456,8
41,1320,3.353201920032501,8
42,4485,3.174945207595825,8
43,4515,3.005583089590073,8
44,3075,2.8402900321483613,8
45,2790,2.919946816921234,8
46,3015,3.351535786151886,8
47,1980,3.233218579053879,8
48,1800,3.16513920545578,8
49,2700,3.451443597316742,8
50,3195,3.2322355284690856,8
51,2310,3.1097409806251526,8
52,2220,3.050774648189545,8
53,3345,3.0939572887420654,8
54,3810,3.0707803070545197,8
55,2235,3.301837720632553,8
56,1905,3.130455419540405,8
57,3120,3.065417048931122,8
