episode,reward,loss,time_dependence
0,1005,5.5284448337554934,4
1,1515,8.401739638328552,4
2,945,7.4843831043243405,4
3,690,6.508192064285279,4
4,1080,5.09311539554596,4
5,1200,4.071328107833862,4
6,1545,3.3338917574882507,4
7,2205,3.289808603286743,4
8,3045,3.0390829892158506,4
9,2280,2.7310648159980775,4
10,4125,2.418263500213623,4
11,3105,2.8118733010292054,4
12,1845,2.527137749671936,4
13,2100,2.675519032001495,4
14,1920,2.706494900226593,4
15,2610,2.6413635220527647,4
16,2340,2.898773367881775,4
17,3525,2.7720391278266905,4
18,1035,2.9253455271720887,4
19,3105,2.750503830432892,4
20,1575,2.8259925162792205,4
21,3795,2.7426688332557676,4
22,3915,2.8266329407691955,4
23,480,2.8183574142456056,4
24,3645,2.789591396331787,4
25,1845,2.8889392869472506,4
26,2760,2.9227009625434874,4
27,3765,2.9794856762886046,4
28,2400,2.8618842713832855,4
29,3510,3.1864625930786135,4
30,3870,2.8086188714504243,4
31,3645,3.11462553358078,4
32,3330,3.1352459354400635,4
33,3180,2.8764053516387937,4
34,4005,3.2983083543777467,4
35,1800,3.0344930806159973,4
36,3315,2.7937156739234923,4
37,3870,3.024387162923813,4
38,2385,2.9490958943367005,4
39,1170,2.842895404815674,4
40,4710,2.957422466754913,4
41,2940,3.111459849357605,4
42,3120,3.2391763672828673,4
43,3900,3.079490370750427,4
44,3060,3.0501584420204164,4
45,3495,2.884684232711792,4
46,4230,3.0171208100318907,4
47,2805,3.014474226951599,4
48,4710,3.2210516285896302,4
49,1215,3.2158808889389037,4
50,4530,2.9192434046268465,4
51,4425,3.1333793778419494,4
52,3915,2.858477515697479,4
53,2520,3.091452657699585,4
54,4065,2.948087705373764,4
55,2580,3.0549534459114076,4
56,3165,2.8997983589172365,4
57,3375,3.032323146343231,4
58,2385,3.1116921639442445,4
59,4035,2.90221133852005,4
60,3900,2.973352626800537,4
61,4560,2.9176784806251526,4
62,3195,3.1773816022872925,4
63,4050,2.984594155073166,4
64,3990,3.25272376871109,4
65,2520,2.9804817054271697,4
66,2715,3.0704633095264433,4
67,4755,2.9720099968910216,4
68,3735,3.1496112632751463,4
69,3525,2.8077700634002687,4
70,1920,3.0218339698314667,4
71,3300,2.7654410083293914,4
72,3240,3.0036624035835264,4
73,3315,2.8511066126823423,4
74,3630,3.043529487609863,4
75,3450,3.189132418632507,4
76,4410,2.86832545375824,4
77,4305,3.3442137091159823,4
78,1095,3.0571688327789306,4
79,2595,3.0335919637680053,4
80,4110,2.979685877561569,4
81,3300,2.9060340390205384,4
82,1830,2.727175338745117,4
83,4155,3.0230386838912966,4
84,2895,2.7210373578071594,4
85,3825,3.1745195541381834,4
86,3930,2.9771412708759306,4
87,2685,2.954179687976837,4
88,2865,3.1697703518867493,4
89,3750,3.006698934555054,4
90,4245,3.049548476219177,4
91,2055,2.9935412883758543,4
92,3390,2.854402522087097,4
93,3840,2.996492147922516,4
94,2970,3.102592990398407,4
95,3765,2.891741861343384,4
96,4485,2.68296391248703,4
97,2070,2.8777031288146975,4
98,3210,2.831902296304703,4
