episode,reward,loss,time_dependence
0,1005,4.865298477172852,4
1,1230,8.196192446708679,4
2,1530,7.4632784900665285,4
3,2205,5.9567254476547244,4
4,3780,3.7878905353546144,4
5,3675,2.949161102294922,4
6,4230,2.4714873423576353,4
7,4695,2.654587397575378,4
8,3435,2.3832002749443055,4
9,4305,2.677977746486664,4
10,4425,2.5264205267429354,4
11,3615,2.6266011610031126,4
12,4590,2.480988986492157,4
13,4365,2.4436973965168,4
14,4125,2.5512602667808535,4
15,3765,2.6234363919496535,4
16,3810,2.642682281970978,4
17,3765,2.6677108645439147,4
18,4740,2.6630160636901854,4
19,4620,2.4322469069957733,4
20,4290,2.4483130056858062,4
21,4650,2.546390216112137,4
22,4830,2.465526964187622,4
23,4080,2.668748592853546,4
24,3885,2.367451348781586,4
25,4305,2.331012206554413,4
26,4350,2.233016169309616,4
27,3825,2.3947030413150787,4
28,3990,2.2867740137577055,4
29,3540,2.4753702363967895,4
30,4065,2.4973976562023164,4
31,3795,2.4213881838321685,4
32,4155,2.4384875757694244,4
33,3795,2.4566610164642335,4
34,4920,2.368908239364624,4
35,3585,2.350735460281372,4
36,3630,2.3785424892902376,4
37,3945,2.3897809686660767,4
38,4815,2.490627292394638,4
39,4770,2.505371403694153,4
40,4800,2.45418834400177,4
41,3765,2.4096487736701966,4
42,4005,2.4975928406715395,4
43,3660,2.310227191925049,4
44,3585,2.405062957763672,4
45,3450,2.4225056328773498,4
46,4215,2.6483173995018006,4
47,4320,2.510352467536926,4
48,4890,2.419529393672943,4
49,3510,2.3436346888542174,4
50,4545,2.418631175041199,4
51,4740,2.4299141578674317,4
52,3870,2.3581118054389956,4
53,3600,2.1781469135284426,4
54,4815,2.4572004430294037,4
55,4275,2.418742696762085,4
56,4425,2.381049744129181,4
57,3540,2.4910707278251647,4
