episode,reward,energy,reward_ma,energy_ma
0,55,9.99999999999998,55.0,9.99999999999998
1,700,9.99999999999998,377.5,9.99999999999998
2,295,9.99999999999998,350.0,9.99999999999998
3,115,9.99999999999998,291.25,9.99999999999998
4,-290,9.99999999999998,175.0,9.99999999999998
5,100,9.99999999999998,162.5,9.99999999999998
6,505,9.99999999999998,211.42857142857142,9.99999999999998
7,580,9.99999999999998,257.5,9.99999999999998
8,280,9.99999999999998,260.0,9.99999999999998
9,340,9.99999999999998,268.0,9.99999999999998
10,400,9.99999999999998,280.0,9.99999999999998
11,265,9.99999999999998,278.75,9.99999999999998
12,190,9.99999999999998,271.9230769230769,9.99999999999998
13,340,9.99999999999998,276.7857142857143,9.99999999999998
14,385,9.99999999999998,284.0,9.99999999999998
15,-35,9.99999999999998,264.0625,9.99999999999998
16,25,9.99999999999998,250.0,9.99999999999998
17,55,9.99999999999998,239.16666666666666,9.99999999999998
18,130,9.99999999999998,233.42105263157896,9.99999999999998
19,235,9.99999999999998,233.5,9.99999999999998
20,415,9.99999999999998,251.5,9.99999999999998
21,370,9.99999999999998,235.0,9.99999999999998
22,250,9.99999999999998,232.75,9.99999999999998
23,190,9.99999999999998,236.5,9.99999999999998
24,115,9.99999999999998,256.75,9.99999999999998
25,-35,9.99999999999998,250.0,9.99999999999998
26,400,9.99999999999998,244.75,9.99999999999998
27,190,9.99999999999998,225.25,9.99999999999998
28,265,9.99999999999998,224.5,9.99999999999998
29,25,9.99999999999998,208.75,9.99999999999998
30,400,9.99999999999998,208.75,9.99999999999998
31,160,9.99999999999998,203.5,9.99999999999998
32,490,9.99999999999998,218.5,9.99999999999998
33,505,9.99999999999998,226.75,9.99999999999998
34,100,9.99999999999998,212.5,9.99999999999998
35,-245,9.99999999999998,202.0,9.99999999999998
36,280,9.99999999999998,214.75,9.99999999999998
37,310,9.99999999999998,227.5,9.99999999999998
38,175,9.99999999999998,229.75,9.99999999999998
39,235,9.99999999999998,229.75,9.99999999999998
40,175,9.99999999999998,217.75,9.99999999999998
41,265,9.99999999999998,212.5,9.99999999999998
42,-185,9.99999999999998,190.75,9.99999999999998
43,40,9.99999999999998,183.25,9.99999999999998
44,55,9.99999999999998,180.25,9.99999999999998
45,280,9.99999999999998,196.0,9.99999999999998
46,235,9.99999999999998,187.75,9.99999999999998
47,295,9.99999999999998,193.0,9.99999999999998
48,-35,9.99999999999998,178.0,9.99999999999998
49,445,9.99999999999998,199.0,9.99999999999998
50,85,9.99999999999998,183.25,9.99999999999998
51,490,9.99999999999998,199.75,9.99999999999998
52,175,9.99999999999998,184.0,9.99999999999998
53,550,9.99999999999998,186.25,9.99999999999998
54,265,9.99999999999998,194.5,9.99999999999998
55,265,9.99999999999998,220.0,9.99999999999998
56,400,9.99999999999998,226.0,9.99999999999998
57,595,9.99999999999998,240.25,9.99999999999998
58,415,9.99999999999998,252.25,9.99999999999998
59,130,9.99999999999998,247.0,9.99999999999998
60,115,9.99999999999998,244.0,9.99999999999998
61,130,9.99999999999998,237.25,9.99999999999998
62,580,9.99999999999998,275.5,9.99999999999998
63,340,9.99999999999998,290.5,9.99999999999998
64,85,9.99999999999998,292.0,9.99999999999998
65,175,9.99999999999998,286.75,9.99999999999998
66,205,9.99999999999998,285.25,9.99999999999998
67,235,9.99999999999998,282.25,9.99999999999998
68,415,9.99999999999998,304.75,9.99999999999998
69,535,9.99999999999998,309.25,9.99999999999998
70,445,9.99999999999998,327.25,9.99999999999998
71,145,9.99999999999998,310.0,9.99999999999998
72,145,9.99999999999998,308.5,9.99999999999998
73,325,9.99999999999998,297.25,9.99999999999998
74,565,9.99999999999998,312.25,9.99999999999998
75,250,9.99999999999998,311.5,9.99999999999998
76,190,9.99999999999998,301.0,9.99999999999998
77,565,9.99999999999998,299.5,9.99999999999998
78,-140,9.99999999999998,271.75,9.99999999999998
79,430,9.99999999999998,286.75,9.99999999999998
80,190,9.99999999999998,290.5,9.99999999999998
81,265,9.99999999999998,297.25,9.99999999999998
82,175,9.99999999999998,277.0,9.99999999999998
83,355,9.99999999999998,277.75,9.99999999999998
84,445,9.99999999999998,295.75,9.99999999999998
85,310,9.99999999999998,302.5,9.99999999999998
86,310,9.99999999999998,307.75,9.99999999999998
87,625,9.99999999999998,327.25,9.99999999999998
88,85,9.99999999999998,310.75,9.99999999999998
89,400,9.99999999999998,304.0,9.99999999999998
90,310,9.99999999999998,297.25,9.99999999999998
91,70,9.99999999999998,293.5,9.99999999999998
92,565,9.99999999999998,314.5,9.99999999999998
93,325,9.99999999999998,314.5,9.99999999999998
94,355,9.99999999999998,304.0,9.99999999999998
95,40,9.99999999999998,293.5,9.99999999999998
96,385,9.99999999999998,303.25,9.99999999999998
97,-260,9.99999999999998,262.0,9.99999999999998
98,490,9.99999999999998,293.5,9.99999999999998
99,235,9.99999999999998,283.75,9.99999999999998
100,190,9.99999999999998,283.75,9.99999999999998
101,40,9.99999999999998,272.5,9.99999999999998
102,280,9.99999999999998,277.75,9.99999999999998
103,415,9.99999999999998,280.75,9.99999999999998
104,310,9.99999999999998,274.0,9.99999999999998
105,55,9.99999999999998,261.25,9.99999999999998
106,130,9.99999999999998,252.25,9.99999999999998
107,100,9.99999999999998,226.0,9.99999999999998
108,310,9.99999999999998,237.25,9.99999999999998
109,415,9.99999999999998,238.0,9.99999999999998
110,355,9.99999999999998,240.25,9.99999999999998
111,145,9.99999999999998,244.0,9.99999999999998
112,400,9.99999999999998,235.75,9.99999999999998
113,-35,9.99999999999998,217.75,9.99999999999998
114,400,9.99999999999998,220.0,9.99999999999998
115,175,9.99999999999998,226.75,9.99999999999998
116,55,9.99999999999998,210.25,9.99999999999998
117,490,9.99999999999998,247.75,9.99999999999998
118,625,9.99999999999998,254.5,9.99999999999998
119,430,9.99999999999998,264.25,9.99999999999998
